Market,Outcome,User Link,Current Price,Avg Entry Price,PnL (%),Invested (USD),Z-Score,N Positions,Days Since 1st Trade,Market Mean Invested,Market Std Invested,Updated At
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+November+15%3F,No,https://hashdive.com/Analyze_User?user_address=0x8fdf1f799b502d3c989df4c3ad184cb2ed95f38e&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BNovember%2B15%253F,0.84,0.19986,3.2029420594416087,5060.142419100001,1.9972283395117032,2,17,545.8770088242297,2260.265048802308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0xaa71be5472994f4a547671a4b6915d5fad477193&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.24,3.1333333333333333,2728.4448371999997,0.10443601070140757,1,19,1272.1862665068754,13944.027169485678,2025-10-25T23:26:01.946
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0xc9006cd24e9e599e6d899aef360900069d3c981d&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.312384,2.175578774841221,14185.601820814656,0.9400491669680914,1,18,1246.2643630684552,13764.532656817308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x99dd461f9772db357b51b520ad66a47ce25061cc&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.313356,2.1657284366662837,6916.03402778796,0.4119115269715588,2,16,1246.2643630684552,13764.532656817308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x6fa1383aa839e0d87d2a43814f089749b6831f74&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.321831,2.0823631036164945,5567.221575003339,0.3080197174239216,3,19,1272.1862665068754,13944.027169485678,2025-10-25T23:26:01.946
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x0f74c48b3f3a5810c8254eef9f3a12374462f2a6&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.333404,1.9753692217249943,1017.849356993824,-0.016594461415404577,1,17,1246.2643630684552,13764.532656817308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x1af5e93445e0851b9287d8394159957c1822f44e&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.338591,1.9297884468281794,6245.44791138126,0.36319311908034924,1,18,1246.2643630684552,13764.532656817308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Israel+strike+Gaza+on+October+23%3F,No,https://hashdive.com/Analyze_User?user_address=0x5bb4a865e5a2b432b7c421bcc9e98560d477cb1e&market=%2FAnalyze_Market%3Fmarket%3DWill%2BIsrael%2Bstrike%2BGaza%2Bon%2BOctober%2B23%253F,0.9995,0.349464,1.8600943158665841,1499.8699324316638,2.88525618326951,4,1,155.77332776460233,465.85000405196615,2025-10-24T17:26:01.505
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x2dc59d2d026fc8f5376d2512061ae5e7b0aa9b92&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.348941,1.842887479545253,1253.36872200442,0.0005161351360844271,2,17,1246.2643630684552,13764.532656817308,2025-10-26T23:26:02.049
/Analyze_Market?market=Will+Monad+perform+an+airdrop+by+October+31%3F,No,https://hashdive.com/Analyze_User?user_address=0x0dd05f547e6cbe6a0e08555f32c2e67bebb8445c&market=%2FAnalyze_Market%3Fmarket%3DWill%2BMonad%2Bperform%2Ban%2Bairdrop%2Bby%2BOctober%2B31%253F,0.992,0.368567,1.6915052080083135,5695.01142263168,0.3231542885663089,4,16,1286.2674425511277,13642.845340658105,2025-10-24T04:26:01.687
